Gender,Department,Leader Type,Total victims,Position
F,Antioquia,Peasant or agrarian leader,1,He accompanied the project of the Agrarian Summit in the Colombian department of Chocó
F,Antioquia,Community leader,1,Coordinator of Gustavo Petro's presidential campaign
F,Antioquia,Indigenous leader,1,Daughter of the local governor
F,Antioquia,Community leader,1,Leader in defense of human and women's rights
F,Antioquia,Community leader,1,Founding leader of the Association of Displaced Persons of Cáceres (Asodesplazca)
F,Antioquia,Indigenous leader,1,Member of the Omagá indigenous community
F,Antioquia,Communal leader,1,Member of the Community Action Board of the Las Cruces district of the El Llano district of Yarumal
F,Antioquia,Community leader,1,Participated in projects related to land and reclamation of land in the sector
F,Antioquia,Communal leader,1,Secretary at the Community Action Board in the Guayabal district
F,Antioquia,Community leader,1,
F,Arauca,Community leader,1,Women's rights activist from the Barrios Villaluz Community of Women and ORG support
F,Arauca,Community leader,1,teacher
F,Arauca,Indigenous leader,1,He was a member of the Macarieros community of the Makaguán people and defender of the rights of his ethnic group
F,Arauca,Community leader,1,President of the Caño Rico Community Action Board in Arauquita
F,Bogotá,Community leader,1,Community mother of the Candelaria La neighborhood
F,Caquetá,Communal leader,1,"Secretary of the Community Action Board in the municipality of Puerto Valdivia, Currillo in Caquetá. Participated in processes of substitution of illicit crops in the department."
F,Casanare,Communal leader,1,President of the Communal Action Board of the village of La Pradera and member of the Women's Commission of the Alianza Verde party.
F,Casanare,Community leader,1,Civil Defense Volunteer
F,Cauca,Community leader,1,Nursing assistant
F,Cauca,Indigenous leader,2,Merchant
F,Cauca,Indigenous leader,1,"Commune of the indigenous reservation of Jambaló, Oriente del Cauca"
F,Cauca,Community leader,1,Public accountant and councilor of the municipality of Suárez and was running for mayor of the same municipality
F,Cauca,Community leader,1,"Coordinator of the Municipal Table for effective participation of the victims of Suárez, Cauca"
F,Cauca,Indigenous leader,1,Indigenous Governor of Northern Cauca
F,Cauca,Peasant or agrarian leader,1,Member of the Women's Committee of the Association of Peasant Women of Algeria and the Peasant Association of Workers of Algeria
F,Cauca,Indigenous leader,1,Leader of the Nasa people
F,Cauca,Indigenous leader,1,Member of the station of the Kokonkco reservation
F,Cauca,Community leader,1,Member of the Cauca victims table
F,Cauca,Indigenous leader,1,Member of the López Adentro reservation
F,Cauca,Peasant or agrarian leader,1,"Member of PUPSOC Colombian Southwest Popular Unity Process, leader of ASCATBAL Association of Peasant Workers of Balboa"
F,Cauca,Peasant or agrarian leader,1,"Militant of the Patriotic March and was also linked to the Association of Peasant Workers of the Corinthian Peasant Reserve Zone, as well as to the National Federation of Unitary Agricultural Unions"
F,Cauca,Communal leader,1,"President of the Campesino Environmental Association of Playa Rica (Ascap), of El Tambo"
